beakwid_mm,island
7.42,Laysan
7.12,Laysan
7.64,Laysan
7.78,Laysan
8.14,Laysan
8.01,Laysan
8.16,Laysan
7.59,Laysan
7.44,Laysan
7.82,Laysan
7.55,Laysan
7.56,Laysan
7.66,Laysan
7.02,Laysan
7.58,Laysan
7.66,Laysan
7.66,Laysan
7.54,Laysan
7.72,Laysan
7.62,Laysan
7.74,Laysan
7.54,Laysan
7.68,Laysan
7.37,Laysan
7.46,Laysan
7.62,Laysan
7.77,Laysan
7.66,Laysan
7.75,Laysan
7.54,Laysan
7.54,Laysan
7.52,Laysan
7.75,Laysan
7.77,Laysan
7.38,Laysan
7.28,Laysan
7.32,Laysan
7.42,Laysan
7.21,Laysan
7.36,Laysan
7.3,Laysan
7.7,Laysan
7.4,Laysan
7.68,Laysan
7.24,Laysan
7.91,Laysan
8.12,Laysan
7.7,Laysan
7.65,Laysan
7.77,Laysan
7.66,Laysan
7.53,Laysan
7.72,Laysan
7.72,Laysan
7.84,Laysan
7.59,Laysan
7.38,Laysan
7.61,Laysan
7.5,Laysan
7.88,Laysan
7.55,Laysan
7.57,Laysan
7.86,North
7.92,North
7.78,North
7.95,North
8.09,North
8.33,North
7.66,North
8.2,North
8.36,North
7.8,North
7.59,Southeast
7.72,Southeast
7.54,Southeast
7.54,Southeast
8,Southeast
7.89,Southeast
8.07,Southeast
8.01,Southeast
7.82,Southeast
7.48,Southeast
7.77,Southeast
6.98,Southeast
7.55,Southeast
7.98,Southeast
7.45,Southeast
7.88,Southeast
7.82,Southeast
8.53,Southeast
7.83,Southeast
7.87,Southeast
